Gender,Age,Income Level,Region,Contract Type,Tenure,Account Type,Billing Method,Payment Method,Monthly Charges,Total Charges,Call Usage (mins),Internet Service,Data Usage (GB),Streaming Services,Value-Added Services,Device Protection Plan,Number of Complaints,Response Time (hrs),Customer Support Calls,Satisfaction Score,Service Downgrades,Contract Changes,Churn Label,Onboarding Experience,Login Frequency,App Engagement
Female,35,Low,South,Two-year,12,Prepaid,Mailed,Bank Transfer,134.97,8155.23,375.76,Fiber optic,275.97,Yes,No,Yes,2,11.41,20,9.28,2,No,No,7.23,7,0.94
Female,44,Medium,West,Month-to-month,26,Postpaid,Mailed,Bank Transfer,104.27,9688.77,807.59,Fiber optic,470.46,No,Yes,Yes,9,6.99,20,8.66,1,Yes,No,9.54,20,3.57
Male,43,Low,West,Month-to-month,16,Prepaid,Paperless,Credit Card,37.51,8006.09,574.1,DSL,136.51,Yes,No,No,7,40.51,3,9.48,5,No,No,6.41,45,7.51
Female,27,Low,East,Two-year,5,Postpaid,Mailed,Credit Card,89.06,6831.83,245.83,DSL,278.14,No,No,Yes,7,38.92,0,2.46,3,Yes,No,9.79,30,0.54
Male,38,High,West,Two-year,38,Prepaid,Paperless,Bank Transfer,173.87,9173.21,149.41,Fiber optic,160.48,No,Yes,No,4,29.25,15,6.81,0,Yes,No,5.63,18,6.32
Non-binary,30,Medium,North,Month-to-month,39,Prepaid,Paperless,Credit Card,100.89,7816.78,845.95,None,328.92,No,Yes,Yes,9,5.65,6,3.89,0,No,Yes,5.06,30,9.08
Female,23,Low,North,One-year,63,Postpaid,Mailed,Cash,106.16,7709.74,651.82,None,303.09,No,Yes,Yes,9,7.1,11,2.68,3,Yes,No,4.19,35,8.4
Male,51,Medium,East,One-year,36,Prepaid,Paperless,Credit Card,188.5,3588.65,971.79,Fiber optic,296.39,No,No,Yes,3,19.48,7,5.79,1,No,No,3.47,24,6.61
Non-binary,19,High,South,One-year,49,Postpaid,Mailed,Bank Transfer,73.02,756.75,833.63,None,268.77,Yes,Yes,No,2,28.25,5,5.42,1,No,Yes,7.98,19,4.15
Male,37,Low,West,One-year,71,Postpaid,Mailed,Credit Card,99.25,9171.32,197.8,Fiber optic,98.92,Yes,No,Yes,7,26.81,11,2.48,0,No,Yes,2.84,37,6.31
Male,64,Low,West,Two-year,17,Postpaid,Paperless,Cash,24.33,7155.22,830.85,None,230.42,No,No,Yes,8,29.56,5,2.25,2,No,Yes,4.65,10,6.64
Non-binary,28,Low,West,Two-year,38,Prepaid,Mailed,Credit Card,148.71,1658.68,423.11,DSL,190.6,Yes,Yes,No,4,37.63,6,5.49,2,No,Yes,5.39,32,2.41
Male,61,Low,North,Month-to-month,68,Prepaid,Mailed,Credit Card,65.69,2602.33,914.22,DSL,19,Yes,Yes,Yes,6,19.45,2,3.77,2,Yes,No,3.69,32,1.3
Male,61,Low,West,Month-to-month,33,Prepaid,Mailed,Credit Card,63.44,8176.86,404.46,Fiber optic,479.75,No,Yes,Yes,3,13.95,12,9.32,4,Yes,No,4.2,20,9.75
Non-binary,53,Medium,North,Two-year,55,Postpaid,Mailed,Bank Transfer,58.82,5776.34,325.26,None,354.51,Yes,Yes,Yes,3,45.24,0,9.97,2,Yes,Yes,5.64,30,2.84
Non-binary,57,High,South,Two-year,16,Postpaid,Mailed,Credit Card,103.61,9150.39,946.22,DSL,426.31,Yes,Yes,No,2,21.26,6,2.5,1,Yes,No,9.46,23,1.02
Non-binary,27,High,North,Month-to-month,63,Prepaid,Mailed,Bank Transfer,146.07,2900.55,314.48,None,332.52,Yes,No,No,2,5.95,17,8.53,4,Yes,No,9.8,24,2.92
Non-binary,24,Medium,West,One-year,15,Postpaid,Mailed,Bank Transfer,125.23,2053.37,350.5,None,7.58,No,Yes,No,8,2.01,18,3.55,2,No,No,9.6,32,1.67
Male,26,Medium,North,Two-year,41,Postpaid,Mailed,Credit Card,28.43,3486.54,986.67,DSL,38.73,No,Yes,Yes,6,23.83,11,8.25,5,Yes,Yes,4.11,2,8.11
Female,38,Low,South,One-year,56,Prepaid,Mailed,Cash,103.15,6166.11,672.84,None,372.23,Yes,Yes,Yes,6,16.96,16,7.95,0,No,No,9.12,4,8.2
Female,33,Low,East,Two-year,2,Postpaid,Mailed,Cash,50.17,9475.39,449.38,Fiber optic,250.25,No,Yes,Yes,9,32.6,8,7.69,3,Yes,No,9.74,45,1.38
Female,75,High,South,One-year,16,Prepaid,Mailed,Credit Card,121.91,9381.89,657.39,DSL,489.52,Yes,No,Yes,4,32.43,14,6.43,0,Yes,No,5.01,34,6.71
Male,48,Low,South,One-year,14,Postpaid,Paperless,Bank Transfer,20.12,5509.43,799.76,Fiber optic,315.4,No,No,No,6,4.72,14,5.62,3,No,No,4.4,5,0.77
Male,26,Low,West,Month-to-month,35,Postpaid,Paperless,Bank Transfer,193.16,147.49,375.62,DSL,130.99,Yes,Yes,Yes,9,3.48,18,9.29,1,Yes,Yes,9.57,47,8.09
Male,47,Low,South,Month-to-month,19,Postpaid,Mailed,Credit Card,143.17,2328.92,989.58,None,281.08,Yes,No,Yes,5,33.36,12,5.76,1,No,Yes,3.22,31,8.54
Non-binary,32,Low,South,Two-year,67,Prepaid,Mailed,Cash,178.73,3414.74,362,None,264.41,Yes,Yes,No,4,31.59,17,7.78,2,Yes,Yes,9.32,15,2.73
Male,64,Low,North,Two-year,72,Prepaid,Paperless,Credit Card,134.44,3608.81,412.87,Fiber optic,499.13,No,Yes,Yes,1,34.42,2,4.89,1,Yes,Yes,3.72,43,9.39
Non-binary,57,Low,West,Month-to-month,3,Postpaid,Mailed,Cash,133.51,8763.45,348.35,Fiber optic,254.38,No,No,Yes,4,31.56,15,2.72,5,Yes,Yes,2.94,47,2.04
Non-binary,45,Low,South,One-year,25,Prepaid,Paperless,Credit Card,70.22,7585.97,773.16,None,374.1,No,Yes,No,5,33.97,2,3.42,2,Yes,Yes,2,50,1.51
Female,42,High,West,Month-to-month,72,Prepaid,Paperless,Credit Card,55.32,5386.63,733.6,None,421.13,Yes,No,No,7,35.8,17,8.57,0,No,No,1.99,8,3.16
Female,68,High,East,One-year,43,Postpaid,Paperless,Bank Transfer,193.6,4888.89,968.72,DSL,438.21,No,Yes,Yes,3,13.68,1,8.91,2,Yes,Yes,1.69,29,6.87
Non-binary,61,Medium,North,One-year,34,Prepaid,Mailed,Bank Transfer,187.17,3573.67,125.62,DSL,409.41,No,No,No,8,14.13,0,8.19,0,Yes,No,4.57,12,9.06
Female,78,High,North,One-year,35,Prepaid,Paperless,Cash,193.95,8551.27,66.94,DSL,366.34,No,Yes,No,10,9.81,14,9.59,2,No,No,5.38,5,4.68
Female,71,High,South,Two-year,10,Prepaid,Paperless,Bank Transfer,117.51,8322.44,221.84,None,23.56,No,Yes,Yes,0,6.21,8,5.88,0,Yes,No,1.43,27,5.51
Non-binary,69,High,North,Month-to-month,2,Postpaid,Mailed,Cash,79.31,4624.76,525.09,DSL,111.83,No,No,No,3,18.41,7,5.8,5,Yes,No,2.1,10,1.14
Non-binary,72,Medium,West,One-year,20,Postpaid,Mailed,Bank Transfer,42.01,3988.57,540.98,Fiber optic,59.22,Yes,No,No,8,32.12,9,8.75,4,No,No,6.35,4,7.88
Female,33,Low,South,Two-year,48,Prepaid,Mailed,Cash,22.37,9909.28,851.76,Fiber optic,484.05,No,No,Yes,7,14.49,12,9.39,1,No,No,2.37,15,3.57
Male,39,Medium,East,Two-year,10,Postpaid,Paperless,Cash,141.41,2968.03,354.65,DSL,264.87,No,Yes,Yes,6,6.03,5,9.49,3,No,No,3.71,6,5.65
Male,70,Medium,East,Month-to-month,62,Prepaid,Paperless,Cash,38.13,9427.45,107.59,Fiber optic,113.63,No,Yes,No,2,2.68,1,1.16,0,No,No,6.02,7,0.32
Male,18,Medium,North,Month-to-month,64,Prepaid,Mailed,Cash,103.37,3619.42,484.59,DSL,303.84,No,Yes,Yes,9,23.7,2,1.97,2,Yes,Yes,1.59,16,4.49
Male,47,Medium,South,Month-to-month,60,Postpaid,Mailed,Cash,93.32,6325.67,98.12,Fiber optic,399.43,No,No,Yes,1,37.4,7,9.18,0,Yes,Yes,6.76,42,0.43
Male,80,High,North,Two-year,5,Postpaid,Paperless,Credit Card,159.26,1367.18,498.64,DSL,381.36,No,Yes,Yes,7,10.43,8,3.66,2,No,No,6.3,22,9.21
Female,75,High,West,Two-year,31,Postpaid,Paperless,Cash,190.07,2308.17,822.34,DSL,402.01,Yes,Yes,No,4,4.42,13,3,5,Yes,No,4.16,29,1.61
Male,23,Low,East,Two-year,38,Prepaid,Mailed,Cash,169.49,3443.11,134.27,Fiber optic,59.63,Yes,No,No,8,31.61,18,2.17,1,No,Yes,2.36,19,7.9
Female,42,Low,South,Two-year,12,Postpaid,Paperless,Credit Card,107.47,1927.02,207.47,Fiber optic,73.84,No,Yes,No,4,11.11,18,8.65,4,Yes,Yes,7.3,14,8.3
Male,24,Low,South,Month-to-month,15,Postpaid,Paperless,Credit Card,190.85,4381.68,208.11,None,347.32,No,No,No,9,7.71,0,1.94,0,No,Yes,4.81,20,0.95
Female,62,High,North,Month-to-month,28,Prepaid,Paperless,Bank Transfer,27.29,9866.73,189.2,Fiber optic,334.28,Yes,Yes,No,1,22.04,16,1.45,3,Yes,Yes,8.85,37,3.28
Male,75,High,West,Two-year,55,Postpaid,Paperless,Cash,158.75,3959.42,738.56,Fiber optic,307.13,No,Yes,Yes,0,22.93,13,1.27,5,No,Yes,2.67,24,9.01
Male,56,Low,South,Month-to-month,3,Postpaid,Paperless,Cash,154.39,2615.06,464.71,DSL,68.68,Yes,Yes,Yes,4,23.99,20,8.28,0,No,Yes,5.97,32,7.41
Male,28,High,East,Month-to-month,34,Postpaid,Paperless,Cash,124.35,7027.35,81.66,DSL,160.85,No,Yes,No,4,20.61,19,3.37,4,Yes,No,2.91,36,1.05
Male,59,High,East,One-year,42,Prepaid,Paperless,Credit Card,139.15,7501.59,645.42,DSL,110.12,Yes,Yes,Yes,10,4.86,13,6.99,2,Yes,Yes,4.98,10,5.27
Non-binary,19,Low,West,One-year,3,Postpaid,Paperless,Cash,175.04,547.01,105.03,Fiber optic,306.51,No,Yes,No,6,37.14,13,7.85,2,No,No,5.95,8,1.77
Female,36,Medium,West,Month-to-month,42,Postpaid,Mailed,Bank Transfer,164.7,7579.26,246.87,Fiber optic,255.68,Yes,No,No,3,26.68,14,3.16,1,Yes,No,1.12,27,8.04
Male,60,High,South,Two-year,40,Postpaid,Paperless,Bank Transfer,174.45,3002.24,96.35,DSL,312.79,Yes,No,Yes,3,29.31,3,3.79,4,No,No,3.39,5,4.25
Non-binary,52,High,West,Month-to-month,61,Postpaid,Mailed,Cash,61.91,5622.68,558.58,DSL,388.88,Yes,Yes,Yes,5,28.88,16,6.22,0,No,No,1.08,0,1.85
Female,69,Low,South,Month-to-month,49,Prepaid,Mailed,Bank Transfer,107.32,801.27,439.7,Fiber optic,267.36,Yes,No,Yes,10,37.9,5,8.67,3,Yes,Yes,3.37,10,1.55
Non-binary,75,Low,South,Month-to-month,36,Postpaid,Paperless,Bank Transfer,54.91,4724.35,545.84,None,211.27,No,Yes,No,8,12.62,6,6.11,2,Yes,Yes,2.36,19,5.4
Female,34,Low,East,One-year,9,Prepaid,Paperless,Cash,135.72,6719.53,257.49,Fiber optic,67.8,No,Yes,No,8,40.23,9,7.58,3,Yes,Yes,2.04,27,2.35
Male,41,Low,West,One-year,12,Prepaid,Paperless,Credit Card,198.54,1993.21,629.47,DSL,235.34,Yes,Yes,Yes,5,47.25,12,2.2,2,Yes,No,4.08,13,8.54
Non-binary,32,Low,East,One-year,22,Prepaid,Paperless,Credit Card,59.74,716.03,991.54,Fiber optic,38.46,Yes,No,Yes,0,3.38,11,4.77,1,Yes,Yes,3.77,49,5.99
Female,71,Medium,South,Two-year,3,Postpaid,Mailed,Cash,160.93,8735.78,54.73,DSL,309.15,Yes,No,No,2,28.01,8,4.46,0,No,No,8.17,18,3.01
Female,32,Low,East,One-year,71,Prepaid,Paperless,Bank Transfer,127.98,101.23,847.17,None,25.11,No,Yes,Yes,3,1.08,14,2.96,4,No,No,2.66,6,9.08
Non-binary,57,Medium,East,Month-to-month,31,Prepaid,Mailed,Cash,60.85,6795.32,659.75,DSL,105.72,No,Yes,Yes,1,38.6,17,8.97,5,Yes,Yes,9.74,27,9.79
Female,65,High,South,Two-year,25,Postpaid,Paperless,Bank Transfer,57.23,998.66,411.68,DSL,423.59,No,Yes,No,1,10.64,18,5.8,1,Yes,Yes,3.98,11,0.36
Female,80,Medium,East,Two-year,71,Prepaid,Paperless,Credit Card,174.19,8901.9,274.22,DSL,138.75,Yes,Yes,Yes,2,19.6,2,3.49,2,No,No,6.25,35,7.28
Female,28,Medium,East,Month-to-month,47,Prepaid,Mailed,Cash,119.16,941.69,972.84,DSL,307.99,Yes,Yes,Yes,3,5.75,2,7.32,3,Yes,Yes,9.17,2,7.75
Male,78,Medium,North,Month-to-month,69,Postpaid,Paperless,Bank Transfer,100.44,140.31,511.4,DSL,492.86,No,No,No,6,13.51,12,7.62,2,No,No,9.76,35,9.94
Female,56,Medium,East,Month-to-month,1,Prepaid,Mailed,Bank Transfer,96.39,8435.52,438.24,None,483.62,No,No,No,3,4.68,0,4.89,2,Yes,Yes,5.07,40,9.97
Male,53,High,South,Month-to-month,44,Postpaid,Mailed,Cash,186.44,5240.64,619.37,DSL,331.36,No,No,No,6,41.91,4,5.04,3,No,No,8.01,41,6.97
Female,36,High,West,One-year,33,Postpaid,Paperless,Bank Transfer,79.34,8389.56,110.4,DSL,446.25,Yes,No,Yes,7,40.84,14,9.92,1,Yes,No,2.52,19,2.26
Female,47,Medium,North,Month-to-month,2,Postpaid,Paperless,Bank Transfer,23.7,9829,373.09,DSL,293.88,Yes,No,No,7,33.48,0,9.47,4,No,No,4.19,2,4.72
Female,73,Low,South,Two-year,63,Prepaid,Paperless,Cash,152.46,1014.96,269.69,DSL,431.35,No,Yes,No,4,3.42,4,5.31,3,Yes,Yes,5.46,44,4.91
Female,54,Medium,North,One-year,23,Prepaid,Paperless,Credit Card,162.42,9029.09,91.95,DSL,210,No,Yes,Yes,5,36.12,0,8.55,0,No,Yes,6.29,5,1.59
Male,23,Medium,West,Two-year,34,Postpaid,Paperless,Cash,165.37,130.32,886.25,None,87.24,Yes,Yes,Yes,1,26.23,0,3.5,4,Yes,No,6.14,40,1.84
Female,26,High,East,Month-to-month,50,Prepaid,Paperless,Bank Transfer,166.18,6819.86,982.57,Fiber optic,171.17,Yes,No,Yes,6,3.42,6,8.42,1,Yes,Yes,3.79,11,7.95
Male,47,High,North,One-year,24,Postpaid,Paperless,Cash,176.99,5208.88,55.1,Fiber optic,239.07,No,No,No,1,4.24,9,5.3,4,Yes,Yes,5.67,13,5.87
Female,74,Low,South,Month-to-month,27,Prepaid,Paperless,Bank Transfer,153.53,1032.14,765.45,DSL,90.07,No,No,No,5,12.46,11,6.68,5,Yes,No,7.99,7,9.47
Female,66,Low,East,Month-to-month,19,Postpaid,Mailed,Bank Transfer,61.62,1501.27,737.48,None,177.72,No,Yes,Yes,4,16.42,6,3.29,1,Yes,No,5.57,30,9.76
Female,33,Medium,West,One-year,10,Postpaid,Mailed,Bank Transfer,93.7,6292.9,855.95,Fiber optic,206.05,Yes,No,No,8,23.9,16,3.3,4,Yes,Yes,4.18,13,9.58
Non-binary,59,Low,East,Two-year,4,Postpaid,Mailed,Credit Card,79.43,5508.79,884.89,Fiber optic,492.73,Yes,No,No,0,6.06,14,4.7,1,Yes,Yes,2.12,38,3.89
Non-binary,75,High,North,Month-to-month,64,Prepaid,Paperless,Credit Card,120.75,4935.55,849.39,None,44.14,Yes,Yes,No,6,31.33,19,8.82,4,No,No,1.95,40,4.18
Non-binary,33,Low,South,One-year,33,Postpaid,Mailed,Credit Card,151.87,3182.13,652.6,Fiber optic,346.81,No,No,No,6,33.69,11,1.84,3,No,No,5.35,12,8.56
Female,26,Low,West,Month-to-month,39,Postpaid,Paperless,Credit Card,76.01,6883.64,464.67,Fiber optic,23.3,Yes,No,No,3,38.37,6,6.66,2,No,Yes,2.41,43,2.13
Female,80,Low,North,Two-year,67,Prepaid,Mailed,Cash,72.82,7059.71,202.7,DSL,393.67,No,No,Yes,8,46.28,11,2.65,0,No,Yes,7.53,40,7.71
Male,57,Medium,South,Two-year,23,Prepaid,Mailed,Credit Card,28.78,5579.6,77.07,None,391.35,Yes,Yes,No,0,13.59,4,9.42,4,Yes,No,8.32,45,4.23
Male,36,High,South,Two-year,27,Postpaid,Mailed,Credit Card,144.88,5530.37,825.04,DSL,448.7,No,Yes,No,2,13.45,7,4.04,3,Yes,No,9.05,7,3.59
Male,33,High,South,Month-to-month,35,Postpaid,Mailed,Cash,146.56,9014.31,556.81,None,48.51,Yes,Yes,No,9,30.82,9,3.14,2,Yes,No,8.77,36,6.12
Non-binary,24,Medium,East,Month-to-month,42,Postpaid,Mailed,Bank Transfer,108.86,2480.77,476.41,DSL,473.15,No,No,No,10,16.06,16,4.97,4,No,No,9.73,36,2.97
Female,35,High,North,One-year,26,Prepaid,Paperless,Bank Transfer,196.87,4797.81,867.39,DSL,47.73,No,Yes,Yes,6,22.26,7,9.01,3,Yes,No,4.33,7,5.09
Female,28,Medium,North,Month-to-month,48,Prepaid,Paperless,Credit Card,155.67,6353.65,451.57,DSL,451.16,No,Yes,Yes,0,9.87,14,3.7,3,Yes,Yes,7.88,8,8.83
Female,65,Medium,West,One-year,18,Postpaid,Paperless,Cash,173.69,6278.57,201.05,Fiber optic,127.1,Yes,Yes,Yes,5,36.62,19,7.78,0,Yes,Yes,9,39,0.68
