Gender,Age,Income Level,Region,Contract Type,Tenure,Account Type,Billing Method,Payment Method,Monthly Charges,Total Charges,Call Usage (mins),Internet Service,Data Usage (GB),Streaming Services,Value-Added Services,Device Protection Plan,Number of Complaints,Response Time (hrs),Customer Support Calls,Satisfaction Score,Service Downgrades,Contract Changes,Churn Label,Onboarding Experience,Login Frequency,App Engagement
0,35,0,South,1,12,0,0,Bank Transfer,134.97,8155.23,375.76,1,275.97,1,0,1,2,11.41,20,9.28,2,0,0,7.23,7,0.94
0,44,1,West,0,26,1,0,Bank Transfer,104.27,9688.77,807.59,1,470.46,0,1,1,9,6.99,20,8.66,1,1,0,9.54,20,3.57
1,43,0,West,0,16,0,1,Credit Card,37.51,8006.09,574.1,1,136.51,1,0,0,7,40.51,3,9.48,5,0,0,6.41,45,7.51
0,27,0,East,1,5,1,0,Credit Card,89.06,6831.83,245.83,1,278.14,0,0,1,7,38.92,0,2.46,3,1,0,9.79,30,0.54
1,38,2,West,1,38,0,1,Bank Transfer,173.87,9173.21,149.41,1,160.48,0,1,0,4,29.25,15,6.81,0,1,0,5.63,18,6.32
0,30,1,North,0,39,0,1,Credit Card,100.89,7816.78,845.95,0,328.92,0,1,1,9,5.65,6,3.89,0,0,1,5.06,30,9.08
0,23,0,North,1,63,1,0,Cash,106.16,7709.74,651.82,0,303.09,0,1,1,9,7.1,11,2.68,3,1,0,4.19,35,8.4
1,51,1,East,1,36,0,1,Credit Card,188.5,3588.65,971.79,1,296.39,0,0,1,3,19.48,7,5.79,1,0,0,3.47,24,6.61
0,19,2,South,1,49,1,0,Bank Transfer,73.02,756.75,833.63,0,268.77,1,1,0,2,28.25,5,5.42,1,0,1,7.98,19,4.15
1,37,0,West,1,71,1,0,Credit Card,99.25,9171.32,197.8,1,98.92,1,0,1,7,26.81,11,2.48,0,0,1,2.84,37,6.31
1,64,0,West,1,17,1,1,Cash,24.33,7155.22,830.85,0,230.42,0,0,1,8,29.56,5,2.25,2,0,1,4.65,10,6.64
0,28,0,West,1,38,0,0,Credit Card,148.71,1658.68,423.11,1,190.6,1,1,0,4,37.63,6,5.49,2,0,1,5.39,32,2.41
